,date,logging_info,status
64,11-12-21 17:36:41,Sucessfully dump loggings file into cassandra database with keyspace project_loggings,INFO
65,12-12-21 14:35:40,Sucessfully remove the file create_medical_report.log from path Project_Logs/create_medical_report.log,INFO
66,11-12-21 17:55:46,Sucessfully remove the file generate_random_code_for_validation.log from path Project_Logs/generate_random_code_for_validation.log,INFO
67,12-12-21 00:24:30,Sucessfully remove the file credentials_validation.log from path Project_Logs/credentials_validation.log,INFO
68,12-12-21 02:40:57,Sucessfully remove the file emails.log from path Project_Logs/emails.log,INFO
69,12-12-21 00:24:28,Sucessfully created and return the session of cassandra database with keyspace project_loggings,INFO
70,28-11-21 14:07:47,Sucessfully remove the file emails.log from path Project_Logs/emails.log,INFO
71,11-12-21 16:38:16,Sucessfully remove the file credentials_validation.log from path Project_Logs/credentials_validation.log,INFO
72,12-12-21 02:35:04,Sucessfully dump loggings file into cassandra database with keyspace project_loggings,INFO
73,11-12-21 17:58:48,"Could occured remove the file credentials_validation.log from path Project_Logs/credentials_validation.log error: [Errno 2] No such file or directory: ""Project_Logs/credentials_validation.log""",ERROR
74,28-11-21 10:18:21,Sucessfully created and return the session of cassandra database with keyspace project_loggings,INFO
75,11-12-21 16:14:41,Sucessfully remove the file credentials_validation.log from path Project_Logs/credentials_validation.log,INFO
76,29-11-21 04:49:51,Sucessfully dump loggings file into cassandra database with keyspace project_loggings,INFO
77,11-12-21 17:58:45,Sucessfully remove the file db_operations.log from path Project_Logs/db_operations.log,INFO
78,11-12-21 19:27:47,Sucessfully remove the file cassandra_db.log from path Project_Logs/cassandra_db.log,INFO
79,11-12-21 15:42:14,Sucessfully remove the file credentials_validation.log from path Project_Logs/credentials_validation.log,INFO
80,11-12-21 17:55:27,"Error occured while connecting to cassandra database error: (""Unable to connect to any servers"", {""514caa44-afed-47d4-ac69-911205845a27-ap-southeast-1.db.astra.datastax.com:29042:dd2489c0-72b1-4e5a-a545-15a017f68ab6"": OperationTimedOut(""errors=None, last_host=None""), ""514caa44-afed-47d4-ac69-911205845a27-ap-southeast-1.db.astra.datastax.com:29042:7beb840f-c076-4769-bd68-01acc5725524"": OperationTimedOut(""errors=None, last_host=None""), ""514caa44-afed-47d4-ac69-911205845a27-ap-southeast-1.db.astra.datastax.com:29042:016912d1-f0df-4577-9bc8-58f1f1999218"": OperationTimedOut(""errors=None, last_host=None"")})",ERROR
81,12-12-21 00:30:36,Sucessfully remove the file db_operations.log from path Project_Logs/db_operations.log,INFO
82,28-11-21 14:08:07,Sucessfully remove the file cassandra_db.log from path Project_Logs/cassandra_db.log,INFO
83,12-12-21 02:35:00,Sucessfully remove the file credentials_validation.log from path Project_Logs/credentials_validation.log,INFO
84,11-12-21 17:50:07,Sucessfully remove the file credentials_validation.log from path Project_Logs/credentials_validation.log,INFO
85,12-12-21 00:23:57,Sucessfully dump loggings file into cassandra database with keyspace project_loggings,INFO
86,11-12-21 17:57:21,Sucessfully remove the file generate_random_code_for_validation.log from path Project_Logs/generate_random_code_for_validation.log,INFO
87,29-11-21 04:52:11,Sucessfully remove the file db_operations.log from path Project_Logs/db_operations.log,INFO
88,12-12-21 13:49:00,Sucessfully remove the file cassandra_db.log from path Project_Logs/cassandra_db.log,INFO
89,11-12-21 16:10:11,Sucessfully remove the file app.log from path Project_Logs/app.log,INFO
