,date,logging_info,status
77,22-11-21 00:04:26,directory Project_Logs sucessfully created by create_directory funtion,INFO
78,28-11-21 14:08:32,directory Project_Logs sucessfully created by create_directory funtion,INFO
79,28-11-21 10:18:13,directory Project_Logs sucessfully created by create_directory funtion,INFO
80,12-12-21 02:47:24,directory static/user_upload sucessfully created by create_directory funtion,INFO
81,12-12-21 00:15:27,directory static/user_upload sucessfully created by create_directory funtion,INFO
82,12-12-21 13:51:47,directory Project_Logs sucessfully created by create_directory funtion,INFO
83,12-12-21 02:34:45,directory static/user_upload sucessfully created by create_directory funtion,INFO
84,11-12-21 16:14:43,directory Project_Logs sucessfully created by create_directory funtion,INFO
85,11-12-21 19:27:49,directory Project_Logs sucessfully created by create_directory funtion,INFO
86,12-12-21 00:23:43,directory static/user_upload sucessfully created by create_directory funtion,INFO
87,11-12-21 16:17:02,directory Project_Logs sucessfully created by create_directory funtion,INFO
88,11-12-21 19:18:54,directory static/user_upload sucessfully created by create_directory funtion,INFO
89,28-11-21 14:04:27,directory Project_Logs sucessfully created by create_directory funtion,INFO
90,12-12-21 00:14:09,directory static/user_upload sucessfully created by create_directory funtion,INFO
91,12-12-21 00:22:50,directory static/user_upload sucessfully created by create_directory funtion,INFO
92,11-12-21 19:18:57,directory static/user_upload sucessfully created by create_directory funtion,INFO
93,28-11-21 14:08:08,directory Project_Logs sucessfully created by create_directory funtion,INFO
